anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,candidate_atmosphere,category,priority,required_gases,optional_gases,retained_gases,scientific_reason,comment
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,N2_CO2_H2O,atmosfera secundária rochosa / alto peso molecular,alta,"N2, CO2, H2O","CH4, O2, O3","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário baseline para planeta rochoso ou water world; inspirado em atmosferas N2/CO2 de alto peso molecular discutidas por Damiano et al.,Gases essenciais passam no filtro de retenção. faixa temperada.
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,CO2_N2_H2O,CO2-dominante / outgassing,alta,"CO2, N2, H2O","SO2, H2S, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Cenário plausível para atmosfera secundária por outgassing, com efeito estufa forte.",Gases essenciais passam no filtro de retenção. faixa temperada.
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,N2_CO2_CH4_H2O,redutora / tipo Terra arqueana,alta,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. faixa temperada.
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,H2_rich,primordial / Hycean / super-Terra,média-baixa,H2,"He, CH4, NH3, H2O, CO2","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Só deve ser prioridade se H2/He forem bem retidos e o planeta for massivo o suficiente.,"H2 aparece retível no filtro simples, mas este filtro usa T_eq e pode superestimar retenção de H2; tratar como cenário exploratório. faixa temperada."
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,sulfur_volcanic,secundária vulcânica / sulfurada,média,"CO2, N2","SO2, H2S, H2O","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário inspirado em atmosferas secundárias com SO2/H2S; útil para testar vulcanismo e falsos positivos.,"Gases sulfurados retidos preliminarmente (H2S, SO2); depois testar fotólise e vulcanismo. faixa temperada."
earth,Blackbody Ideal,Earth-like,278.57667010212754,5.426670102127559,11.184982503114451,airless_or_thin,controle negativo,controle,-,-,"CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Controle para cenários em que a atmosfera é fina ou ausente.,"Cenário controle, não depende de retenção de gases específicos."
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,N2_CO2_H2O,atmosfera secundária rochosa / alto peso molecular,alta,"N2, CO2, H2O","CH4, O2, O3","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário baseline para planeta rochoso ou water world; inspirado em atmosferas N2/CO2 de alto peso molecular discutidas por Damiano et al.,Gases essenciais passam no filtro de retenção. cenário frio/marginal; efeito estufa pode compensar.
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,CO2_N2_H2O,CO2-dominante / outgassing,alta,"CO2, N2, H2O","SO2, H2S, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Cenário plausível para atmosfera secundária por outgassing, com efeito estufa forte.",Gases essenciais passam no filtro de retenção. cenário frio/marginal; efeito estufa pode compensar.
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,N2_CO2_CH4_H2O,redutora / tipo Terra arqueana,alta,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. cenário frio/marginal; efeito estufa pode compensar.
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,H2_rich,primordial / Hycean / super-Terra,média-baixa,H2,"He, CH4, NH3, H2O, CO2","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Só deve ser prioridade se H2/He forem bem retidos e o planeta for massivo o suficiente.,"H2 aparece retível no filtro simples, mas este filtro usa T_eq e pode superestimar retenção de H2; tratar como cenário exploratório. cenário frio/marginal; efeito estufa pode compensar."
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,sulfur_volcanic,secundária vulcânica / sulfurada,média,"CO2, N2","SO2, H2S, H2O","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário inspirado em atmosferas secundárias com SO2/H2S; útil para testar vulcanismo e falsos positivos.,"Gases sulfurados retidos preliminarmente (H2S, SO2); depois testar fotólise e vulcanismo. cenário frio/marginal; efeito estufa pode compensar."
earth,earth_effective_temperature,Earth-like,254.26384518675272,-18.88615481324726,11.184982503114451,airless_or_thin,controle negativo,controle,-,-,"CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Controle para cenários em que a atmosfera é fina ou ausente.,"Cenário controle, não depende de retenção de gases específicos."
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,N2_CO2_H2O,atmosfera secundária rochosa / alto peso molecular,alta,"N2, CO2, H2O","CH4, O2, O3","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2",Cenário baseline para planeta rochoso ou water world; inspirado em atmosferas N2/CO2 de alto peso molecular discutidas por Damiano et al.,Gases essenciais passam no filtro de retenção. faixa temperada.
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,CO2_N2_H2O,CO2-dominante / outgassing,alta,"CO2, N2, H2O","SO2, H2S, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Cenário plausível para atmosfera secundária por outgassing, com efeito estufa forte.",Gases essenciais passam no filtro de retenção. faixa temperada.
earth,earth_surface_greenhouse_effective,Earth-like,287.70814155165647,14.55814155165649,11.184982503114451,N2_CO2_CH4_H2O,redutora / tipo Terra arqueana,alta,"N2, CO2, CH4, H2O","H2, CO","CH4, CO, CO2, H2, H2O, H2S, He, N2, NH3, O2, SO2","Interessante para metanogênese, desequilíbrio CH4+CO2 e formação de haze; precisará passar depois por filtro UV/fotólise.",Gases essenciais passam no filtro de retenção. faixa temperada.
